ID,Date,Issue,Title,Page Link,Download Link,EPRA/Energy Act
1,1/13/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 3,https://new.kenyalaw.org/akn/ke/officialGazette/2006-01-13/3/eng@2006-01-13,https://new.kenyalaw.org/akn/ke/officialGazette/2006-01-13/3/eng@2006-01-13/source,
2,1/6/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 1,https://new.kenyalaw.org/akn/ke/officialGazette/2006-01-06/1/eng@2006-01-06,https://new.kenyalaw.org/akn/ke/officialGazette/2006-01-06/1/eng@2006-01-06/source,
3,1/20/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 5,https://new.kenyalaw.org/akn/ke/officialGazette/2006-01-20/5/eng@2006-01-20,https://new.kenyalaw.org/akn/ke/officialGazette/2006-01-20/5/eng@2006-01-20/source,
4,1/23/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 6,https://new.kenyalaw.org/akn/ke/officialGazette/2006-01-23/6/eng@2006-01-23,https://new.kenyalaw.org/akn/ke/officialGazette/2006-01-23/6/eng@2006-01-23/source,
5,1/27/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 7,https://new.kenyalaw.org/akn/ke/officialGazette/2006-01-27/7/eng@2006-01-27,https://new.kenyalaw.org/akn/ke/officialGazette/2006-01-27/7/eng@2006-01-27/source,
6,1/27/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 8,https://new.kenyalaw.org/akn/ke/officialGazette/2006-01-27/8/eng@2006-01-27,https://new.kenyalaw.org/akn/ke/officialGazette/2006-01-27/8/eng@2006-01-27/source,
7,2/3/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 9,https://new.kenyalaw.org/akn/ke/officialGazette/2006-02-03/9/eng@2006-02-03,https://new.kenyalaw.org/akn/ke/officialGazette/2006-02-03/9/eng@2006-02-03/source,
8,2/10/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 10,https://new.kenyalaw.org/akn/ke/officialGazette/2006-02-10/10/eng@2006-02-10,https://new.kenyalaw.org/akn/ke/officialGazette/2006-02-10/10/eng@2006-02-10/source,
9,2/17/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 11,https://new.kenyalaw.org/akn/ke/officialGazette/2006-02-17/11/eng@2006-02-17,https://new.kenyalaw.org/akn/ke/officialGazette/2006-02-17/11/eng@2006-02-17/source,
10,2/20/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 12,https://new.kenyalaw.org/akn/ke/officialGazette/2006-02-20/12/eng@2006-02-20,https://new.kenyalaw.org/akn/ke/officialGazette/2006-02-20/12/eng@2006-02-20/source,
11,2/24/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 13,https://new.kenyalaw.org/akn/ke/officialGazette/2006-02-24/13/eng@2006-02-24,https://new.kenyalaw.org/akn/ke/officialGazette/2006-02-24/13/eng@2006-02-24/source,
12,2/24/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 14,https://new.kenyalaw.org/akn/ke/officialGazette/2006-02-24/14/eng@2006-02-24,https://new.kenyalaw.org/akn/ke/officialGazette/2006-02-24/14/eng@2006-02-24/source,
13,3/3/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 15,https://new.kenyalaw.org/akn/ke/officialGazette/2006-03-03/15/eng@2006-03-03,https://new.kenyalaw.org/akn/ke/officialGazette/2006-03-03/15/eng@2006-03-03/source,
14,3/10/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 16,https://new.kenyalaw.org/akn/ke/officialGazette/2006-03-10/16/eng@2006-03-10,https://new.kenyalaw.org/akn/ke/officialGazette/2006-03-10/16/eng@2006-03-10/source,
15,3/13/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 17,https://new.kenyalaw.org/akn/ke/officialGazette/2006-03-13/17/eng@2006-03-13,https://new.kenyalaw.org/akn/ke/officialGazette/2006-03-13/17/eng@2006-03-13/source,
16,3/17/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 18,https://new.kenyalaw.org/akn/ke/officialGazette/2006-03-17/18/eng@2006-03-17,https://new.kenyalaw.org/akn/ke/officialGazette/2006-03-17/18/eng@2006-03-17/source,
17,3/17/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 19,https://new.kenyalaw.org/akn/ke/officialGazette/2006-03-17/19/eng@2006-03-17,https://new.kenyalaw.org/akn/ke/officialGazette/2006-03-17/19/eng@2006-03-17/source,
18,3/24/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 20,https://new.kenyalaw.org/akn/ke/officialGazette/2006-03-24/20/eng@2006-03-24,https://new.kenyalaw.org/akn/ke/officialGazette/2006-03-24/20/eng@2006-03-24/source,
19,3/24/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 21,https://new.kenyalaw.org/akn/ke/officialGazette/2006-03-24/21/eng@2006-03-24,https://new.kenyalaw.org/akn/ke/officialGazette/2006-03-24/21/eng@2006-03-24/source,
